date,ts,total_positives,student_positives,staff_positives,faculty_positives,tests_administered,cumulative_total_positives,total_positives_rolling_avg,cumulative_student_positives,student_positives_rolling_avg,cumulative_staff_positives,staff_positives_rolling_avg,cumulative_faculty_positives,faculty_positives_rolling_avg,cumulative_tests_administered,tests_administered_rolling_avg
11/14/2020,1605330000000,6,6,0,0,2905,186,5.428571428571429,148,4.571428571428571,38,0.8571428571428571,0,0,355589,5043.285714285715
11/15/2020,1605416400000,2,2,0,0,2845,188,5.571428571428571,150,4.714285714285714,38,0.8571428571428571,0,0,358434,5017.714285714285
11/16/2020,1605502800000,2,1,1,0,6005,190,5.571428571428571,151,4.857142857142857,39,0.7142857142857143,0,0,364439,4958.571428571428
11/17/2020,1605589200000,1,1,0,0,5250,191,5.714285714285714,152,5,39,0.7142857142857143,0,0,369689,4905.428571428572
11/18/2020,1605675600000,0,0,0,0,5072,191,4.857142857142857,152,4.142857142857143,39,0.7142857142857143,0,0,374761,4852.428571428572
11/19/2020,1605762000000,2,1,1,0,5186,193,3.142857142857143,153,2.5714285714285716,40,0.5714285714285714,0,0,379947,4756.285714285715
11/20/2020,1605848400000,11,3,8,0,5237,204,3.4285714285714284,156,2,48,1.4285714285714286,0,0,385184,4642.857142857143
11/21/2020,1605934800000,2,2,0,0,2404,206,2.857142857142857,158,1.4285714285714286,48,1.4285714285714286,0,0,387588,4571.285714285715
11/22/2020,1606021200000,2,2,0,0,2138,208,2.857142857142857,160,1.4285714285714286,48,1.4285714285714286,0,0,389726,4470.285714285715
11/23/2020,1606107600000,4,1,3,0,4412,212,3.142857142857143,161,1.4285714285714286,51,1.7142857142857142,0,0,394138,4242.714285714285
11/24/2020,1606194000000,3,0,3,0,3879,215,3.4285714285714284,161,1.2857142857142858,54,2.142857142857143,0,0,398017,4046.8571428571427
11/25/2020,1606280400000,3,1,2,0,48,218,3.857142857142857,162,1.4285714285714286,56,2.4285714285714284,0,0,398065,3329.1428571428573
11/26/2020,1606366800000,4,1,3,0,,222,4.142857142857143,163,1.4285714285714286,59,2.7142857142857144,0,0,398065,2588.285714285714
11/27/2020,1606453200000,1,1,0,0,2472,223,2.7142857142857144,164,1.1428571428571428,59,1.5714285714285714,0,0,400537,2193.285714285714
11/28/2020,1606539600000,0,0,0,0,1028,223,2.4285714285714284,164,0.8571428571428571,59,1.5714285714285714,0,0,401565,1996.7142857142858
11/29/2020,1606626000000,3,0,3,0,1162,226,2.5714285714285716,164,0.5714285714285714,62,2,0,0,402727,1857.2857142857142
11/30/2020,1606712400000,4,0,4,0,3729,230,2.5714285714285716,164,0.42857142857142855,66,2.142857142857143,0,0,406456,1759.7142857142858
12/1/2020,1606798800000,9,7,2,0,3132,239,3.4285714285714284,171,1.4285714285714286,68,2,0,0,409588,1653
12/2/2020,1606885200000,3,1,2,0,2779,242,3.4285714285714284,172,1.4285714285714286,70,2,0,0,412367,2043.142857142857
12/3/2020,1606971600000,7,2,5,0,3221,249,3.857142857142857,174,1.5714285714285714,75,2.2857142857142856,0,0,415588,2503.285714285714
12/4/2020,1607058000000,3,0,3,0,3741,252,4.142857142857143,174,1.4285714285714286,78,2.7142857142857144,0,0,419329,2684.5714285714284
12/5/2020,1607144400000,3,0,3,0,167,255,4.571428571428571,174,1.4285714285714286,81,3.142857142857143,0,0,419496,2561.5714285714284
12/6/2020,1607230800000,4,1,3,0,30,259,4.714285714285714,175,1.5714285714285714,84,3.142857142857143,0,0,419526,2399.8571428571427
12/7/2020,1607317200000,4,1,3,0,4013,263,4.714285714285714,176,1.7142857142857142,87,3,0,0,423539,2440.4285714285716
12/8/2020,1607403600000,8,0,8,0,3135,271,4.571428571428571,176,0.7142857142857143,95,3.857142857142857,0,0,426674,2440.8571428571427
12/9/2020,1607490000000,2,1,1,0,2758,273,4.428571428571429,177,0.7142857142857143,96,3.7142857142857144,0,0,429432,2437.8571428571427
12/10/2020,1607576400000,2,1,1,0,2998,275,3.7142857142857144,178,0.5714285714285714,97,3.142857142857143,0,0,432430,2406
12/11/2020,1607662800000,8,2,6,0,3938,283,4.428571428571429,180,0.8571428571428571,103,3.5714285714285716,0,0,436368,2434.1428571428573
12/12/2020,1607749200000,6,2,4,0,117,289,4.857142857142857,182,1.1428571428571428,107,3.7142857142857144,0,0,436485,2427
12/13/2020,1607835600000,3,0,3,0,34,292,4.714285714285714,182,1,110,3.7142857142857144,0,0,436519,2427.5714285714284
12/14/2020,1607922000000,4,0,4,0,3725,296,4.714285714285714,182,0.8571428571428571,114,3.857142857142857,0,0,440244,2386.4285714285716
12/15/2020,1608008400000,2,0,2,0,3042,298,3.857142857142857,182,0.8571428571428571,116,3,0,0,443286,2373.1428571428573
12/16/2020,1608094800000,5,2,3,0,2673,303,4.285714285714286,184,1,119,3.2857142857142856,0,0,445959,2361
12/17/2020,1608181200000,4,1,3,0,2143,307,4.571428571428571,185,1,122,3.5714285714285716,0,0,448102,2238.8571428571427
12/18/2020,1608267600000,4,1,3,0,3867,311,4,186,0.8571428571428571,125,3.142857142857143,0,0,451969,2228.714285714286
12/19/2020,1608354000000,5,3,2,0,176,316,3.857142857142857,189,1,127,2.857142857142857,0,0,452145,2237.1428571428573
12/20/2020,1608440400000,3,0,3,0,70,319,3.857142857142857,189,1,130,2.857142857142857,0,0,452215,2242.285714285714
12/21/2020,1608526800000,3,2,1,0,3056,322,3.7142857142857144,191,1.2857142857142858,131,2.4285714285714284,0,0,455271,2146.714285714286
12/22/2020,1608613200000,2,0,2,0,2807,324,3.7142857142857144,191,1.2857142857142858,133,2.4285714285714284,0,0,458078,2113.1428571428573
12/23/2020,1608699600000,1,0,1,0,2237,325,3.142857142857143,191,1,134,2.142857142857143,0,0,460315,2050.8571428571427
12/24/2020,1608786000000,8,1,7,0,79,333,3.7142857142857144,192,1,141,2.7142857142857144,0,0,460394,1756
12/25/2020,1608872400000,0,0,0,0,18,333,3.142857142857143,192,0.8571428571428571,141,2.2857142857142856,0,0,460412,1206.142857142857
12/26/2020,1608958800000,1,0,1,0,1431,334,2.5714285714285716,192,0.42857142857142855,142,2.142857142857143,0,0,461843,1385.4285714285713
12/27/2020,1609045200000,1,0,1,0,76,335,2.2857142857142856,192,0.42857142857142855,143,1.8571428571428572,0,0,461919,1386.2857142857142
12/28/2020,1609131600000,9,1,8,0,1691,344,3.142857142857143,193,0.2857142857142857,151,2.857142857142857,0,0,463610,1191.2857142857142
12/29/2020,1609218000000,6,3,2,1,1526,350,3.7142857142857144,196,0.7142857142857143,153,2.857142857142857,1,0.14285714285714285,465136,1008.2857142857143
12/30/2020,1609304400000,3,2,1,0,1362,353,4,198,1,154,2.857142857142857,1,0.14285714285714285,466498,883.2857142857143
12/31/2020,1609390800000,5,3,2,0,70,358,3.5714285714285716,201,1.2857142857142858,156,2.142857142857143,1,0.14285714285714285,466568,882
1/1/2021,1609477200000,1,1,0,0,18,359,3.7142857142857144,202,1.4285714285714286,156,2.142857142857143,1,0.14285714285714285,466586,882
1/2/2021,1609563600000,4,1,3,0,1907,363,4.142857142857143,203,1.5714285714285714,159,2.4285714285714284,1,0.14285714285714285,468493,950
1/3/2021,1609650000000,1,1,0,0,54,364,4.142857142857143,204,1.7142857142857142,159,2.2857142857142856,1,0.14285714285714285,468547,946.8571428571429
