date,ts,total_positives,student_positives,staff_positives,faculty_positives,tests_administered,cumulative_total_positives,total_positives_rolling_sum,total_positives_rolling_avg,cumulative_student_positives,student_positives_rolling_sum,student_positives_rolling_avg,cumulative_staff_positives,staff_positives_rolling_sum,staff_positives_rolling_avg,cumulative_faculty_positives,faculty_positives_rolling_sum,faculty_positives_rolling_avg,cumulative_tests_administered,tests_administered_rolling_sum,tests_administered_rolling_avg
9/1/2020,1598932800000,7,7,0,0,1259,7,,,7,,,0,,,0,,,1259,,
9/2/2020,1599019200000,12,12,0,0,385,19,,,19,,,0,,,0,,,1644,,
9/3/2020,1599105600000,12,12,0,0,4646,31,,,31,,,0,,,0,,,6290,,
9/4/2020,1599192000000,14,14,0,0,4978,45,,,45,,,0,,,0,,,11268,,
9/5/2020,1599278400000,6,6,0,0,2857,51,,,51,,,0,,,0,,,14125,,
9/6/2020,1599364800000,5,5,0,0,2894,56,,,56,,,0,,,0,,,17019,,
9/7/2020,1599451200000,6,6,0,0,5026,62,62,8.857142857142858,62,62,8.857142857142858,0,0,0,0,0,0,22045,22045,3149.285714285714
9/8/2020,1599537600000,3,3,0,0,4730,65,58,8.285714285714286,65,58,8.285714285714286,0,0,0,0,0,0,26775,25516,3645.1428571428573
9/9/2020,1599624000000,13,13,0,0,3872,78,59,8.428571428571429,78,59,8.428571428571429,0,0,0,0,0,0,30647,29003,4143.285714285715
9/10/2020,1599710400000,6,5,1,0,5117,84,53,7.571428571428571,83,52,7.428571428571429,1,1,0.14285714285714285,0,0,0,35764,29474,4210.571428571428
9/11/2020,1599796800000,4,4,0,0,5121,88,43,6.142857142857143,87,42,6,1,1,0.14285714285714285,0,0,0,40885,29617,4231
9/12/2020,1599883200000,3,3,0,0,2770,91,40,5.714285714285714,90,39,5.571428571428571,1,1,0.14285714285714285,0,0,0,43655,29530,4218.571428571428
9/13/2020,1599969600000,0,0,0,0,2914,91,35,5,90,34,4.857142857142857,1,1,0.14285714285714285,0,0,0,46569,29550,4221.428571428572
9/14/2020,1600056000000,0,0,0,0,5969,91,29,4.142857142857143,90,28,4,1,1,0.14285714285714285,0,0,0,52538,30493,4356.142857142857
9/15/2020,1600142400000,0,0,0,0,5228,91,26,3.7142857142857144,90,25,3.5714285714285716,1,1,0.14285714285714285,0,0,0,57766,30991,4427.285714285715
9/16/2020,1600228800000,1,1,0,0,5010,92,14,2,91,13,1.8571428571428572,1,1,0.14285714285714285,0,0,0,62776,32129,4589.857142857143
9/17/2020,1600315200000,0,0,0,0,5483,92,8,1.1428571428571428,91,8,1.1428571428571428,1,0,0,0,0,0,68259,32495,4642.142857142857
9/18/2020,1600401600000,1,1,0,0,5509,93,5,0.7142857142857143,92,5,0.7142857142857143,1,0,0,0,0,0,73768,32883,4697.571428571428
9/19/2020,1600488000000,0,0,0,0,2705,93,2,0.2857142857142857,92,2,0.2857142857142857,1,0,0,0,0,0,76473,32818,4688.285714285715
9/20/2020,1600574400000,1,0,1,0,2797,94,3,0.42857142857142855,92,2,0.2857142857142857,2,1,0.14285714285714285,0,0,0,79270,32701,4671.571428571428
9/21/2020,1600660800000,2,1,1,0,5958,96,5,0.7142857142857143,93,3,0.42857142857142855,3,2,0.2857142857142857,0,0,0,85228,32690,4670
9/22/2020,1600747200000,1,1,0,0,5276,97,6,0.8571428571428571,94,4,0.5714285714285714,3,2,0.2857142857142857,0,0,0,90504,32738,4676.857142857143
9/23/2020,1600833600000,1,1,0,0,5275,98,6,0.8571428571428571,95,4,0.5714285714285714,3,2,0.2857142857142857,0,0,0,95779,33003,4714.714285714285
9/24/2020,1600920000000,0,0,0,0,5865,98,6,0.8571428571428571,95,4,0.5714285714285714,3,2,0.2857142857142857,0,0,0,101644,33385,4769.285714285715
9/25/2020,1601006400000,1,0,1,0,5776,99,6,0.8571428571428571,95,3,0.42857142857142855,4,3,0.42857142857142855,0,0,0,107420,33652,4807.428571428572
9/26/2020,1601092800000,1,0,1,0,2676,100,7,1,95,3,0.42857142857142855,5,4,0.5714285714285714,0,0,0,110096,33623,4803.285714285715
9/27/2020,1601179200000,0,0,0,0,3105,100,6,0.8571428571428571,95,3,0.42857142857142855,5,3,0.42857142857142855,0,0,0,113201,33931,4847.285714285715
9/28/2020,1601265600000,1,1,0,0,6301,101,5,0.7142857142857143,96,3,0.42857142857142855,5,2,0.2857142857142857,0,0,0,119502,34274,4896.285714285715
9/29/2020,1601352000000,1,1,0,0,5714,102,5,0.7142857142857143,97,3,0.42857142857142855,5,2,0.2857142857142857,0,0,0,125216,34712,4958.857142857143
9/30/2020,1601438400000,0,0,0,0,5536,102,4,0.5714285714285714,97,2,0.2857142857142857,5,2,0.2857142857142857,0,0,0,130752,34973,4996.142857142857
10/1/2020,1601524800000,0,0,0,0,5905,102,4,0.5714285714285714,97,2,0.2857142857142857,5,2,0.2857142857142857,0,0,0,136657,35013,5001.857142857143
10/2/2020,1601611200000,2,2,0,0,5889,104,5,0.7142857142857143,99,4,0.5714285714285714,5,1,0.14285714285714285,0,0,0,142546,35126,5018
10/3/2020,1601697600000,0,0,0,0,2913,104,4,0.5714285714285714,99,4,0.5714285714285714,5,0,0,0,0,0,145459,35363,5051.857142857143
10/4/2020,1601784000000,0,0,0,0,2970,104,4,0.5714285714285714,99,4,0.5714285714285714,5,0,0,0,0,0,148429,35228,5032.571428571428
10/5/2020,1601870400000,2,2,0,0,6386,106,5,0.7142857142857143,101,5,0.7142857142857143,5,0,0,0,0,0,154815,35313,5044.714285714285
10/6/2020,1601956800000,1,1,0,0,5629,107,5,0.7142857142857143,102,5,0.7142857142857143,5,0,0,0,0,0,160444,35228,5032.571428571428
10/7/2020,1602043200000,1,1,0,0,5407,108,6,0.8571428571428571,103,6,0.8571428571428571,5,0,0,0,0,0,165851,35099,5014.142857142857
10/8/2020,1602129600000,1,0,1,0,5855,109,7,1,103,6,0.8571428571428571,6,1,0.14285714285714285,0,0,0,171706,35049,5007
10/9/2020,1602216000000,0,0,0,0,5973,109,5,0.7142857142857143,103,4,0.5714285714285714,6,1,0.14285714285714285,0,0,0,177679,35133,5019
10/10/2020,1602302400000,0,0,0,0,2769,109,5,0.7142857142857143,103,4,0.5714285714285714,6,1,0.14285714285714285,0,0,0,180448,34989,4998.428571428572
10/11/2020,1602388800000,0,0,0,0,3047,109,5,0.7142857142857143,103,4,0.5714285714285714,6,1,0.14285714285714285,0,0,0,183495,35066,5009.428571428572
10/12/2020,1602475200000,0,0,0,0,6221,109,3,0.42857142857142855,103,2,0.2857142857142857,6,1,0.14285714285714285,0,0,0,189716,34901,4985.857142857143
10/13/2020,1602561600000,0,0,0,0,5557,109,2,0.2857142857142857,103,1,0.14285714285714285,6,1,0.14285714285714285,0,0,0,195273,34829,4975.571428571428
10/14/2020,1602648000000,2,0,2,0,5304,111,3,0.42857142857142855,103,0,0,8,3,0.42857142857142855,0,0,0,200577,34726,4960.857142857143
10/15/2020,1602734400000,3,1,2,0,5957,114,5,0.7142857142857143,104,1,0.14285714285714285,10,4,0.5714285714285714,0,0,0,206534,34828,4975.428571428572
10/16/2020,1602820800000,1,1,0,0,5876,115,6,0.8571428571428571,105,2,0.2857142857142857,10,4,0.5714285714285714,0,0,0,212410,34731,4961.571428571428
10/17/2020,1602907200000,1,0,1,0,2878,116,7,1,105,2,0.2857142857142857,11,5,0.7142857142857143,0,0,0,215288,34840,4977.142857142857
10/18/2020,1602993600000,0,0,0,0,2935,116,7,1,105,2,0.2857142857142857,11,5,0.7142857142857143,0,0,0,218223,34728,4961.142857142857
10/19/2020,1603080000000,3,3,0,0,6270,119,10,1.4285714285714286,108,5,0.7142857142857143,11,5,0.7142857142857143,0,0,0,224493,34777,4968.142857142857
10/20/2020,1603166400000,0,0,0,0,5683,119,10,1.4285714285714286,108,5,0.7142857142857143,11,5,0.7142857142857143,0,0,0,230176,34903,4986.142857142857
10/21/2020,1603252800000,3,0,3,0,5502,122,11,1.5714285714285714,108,5,0.7142857142857143,14,6,0.8571428571428571,0,0,0,235678,35101,5014.428571428572
10/22/2020,1603339200000,1,0,1,0,5855,123,9,1.2857142857142858,108,4,0.5714285714285714,15,5,0.7142857142857143,0,0,0,241533,34999,4999.857142857143
10/23/2020,1603425600000,2,1,1,0,5880,125,10,1.4285714285714286,109,4,0.5714285714285714,16,6,0.8571428571428571,0,0,0,247413,35003,5000.428571428572
10/24/2020,1603512000000,0,0,0,0,2827,125,9,1.2857142857142858,109,4,0.5714285714285714,16,5,0.7142857142857143,0,0,0,250240,34952,4993.142857142857
10/25/2020,1603598400000,0,0,0,0,3060,125,9,1.2857142857142858,109,4,0.5714285714285714,16,5,0.7142857142857143,0,0,0,253300,35077,5011
10/26/2020,1603684800000,0,0,0,0,6366,125,6,0.8571428571428571,109,1,0.14285714285714285,16,5,0.7142857142857143,0,0,0,259666,35173,5024.714285714285
10/27/2020,1603771200000,0,0,0,0,5699,125,6,0.8571428571428571,109,1,0.14285714285714285,16,5,0.7142857142857143,0,0,0,265365,35189,5027
10/28/2020,1603857600000,3,2,1,0,5398,128,6,0.8571428571428571,111,3,0.42857142857142855,17,3,0.42857142857142855,0,0,0,270763,35085,5012.142857142857
10/29/2020,1603944000000,2,0,2,0,5814,130,7,1,111,3,0.42857142857142855,19,4,0.5714285714285714,0,0,0,276577,35044,5006.285714285715
10/30/2020,1604030400000,4,2,2,0,5909,134,9,1.2857142857142858,113,4,0.5714285714285714,21,5,0.7142857142857143,0,0,0,282486,35073,5010.428571428572
10/31/2020,1604116800000,0,0,0,0,2845,134,9,1.2857142857142858,113,4,0.5714285714285714,21,5,0.7142857142857143,0,0,0,285331,35091,5013
11/1/2020,1604203200000,1,0,1,0,2970,135,10,1.4285714285714286,113,4,0.5714285714285714,22,6,0.8571428571428571,0,0,0,288301,35001,5000.142857142857
11/2/2020,1604293200000,1,0,1,0,6308,136,11,1.5714285714285714,113,4,0.5714285714285714,23,7,1,0,0,0,294609,34943,4991.857142857143
